10:08:37.683 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.0.Final
10:11:01.419 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [e9558f3a-568e-4bad-9048-a6a92b2a3e93_config-0]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$335/1077464378
10:11:01.420 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [e9558f3a-568e-4bad-9048-a6a92b2a3e93_config-0]Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
10:11:01.421 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [e9558f3a-568e-4bad-9048-a6a92b2a3e93_config-0]RpcClient init, ServerListFactory =com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
10:11:01.431 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [e9558f3a-568e-4bad-9048-a6a92b2a3e93_config-0] Try to connect to server on start up, server: {serverIp='192.168.6.130', server main port=8848}
10:11:02.626 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [e9558f3a-568e-4bad-9048-a6a92b2a3e93_config-0] Success to connect to server [192.168.6.130:8848] on start up,connectionId=1641780661143_192.168.6.1_53054
10:11:02.626 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [e9558f3a-568e-4bad-9048-a6a92b2a3e93_config-0]Notify connected event to listeners.
10:11:02.626 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.c.i.ClientWorker - [onConnected,681] - [e9558f3a-568e-4bad-9048-a6a92b2a3e93_config-0] Connected,notify listen context...
10:11:02.627 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [e9558f3a-568e-4bad-9048-a6a92b2a3e93_config-0]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
10:11:02.627 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [e9558f3a-568e-4bad-9048-a6a92b2a3e93_config-0]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$4
10:11:02.663 [main] INFO  c.a.n.c.c.i.Limiter - [<clinit>,56] - limitTime:5.0
10:11:02.724 [main] INFO  c.a.n.c.c.u.JvmUtil - [<clinit>,53] - isMultiInstance:false
10:11:02.745 [main] INFO  c.x.g.XueYiGatewayApplication - [logStartupProfileInfo,663] - The following profiles are active: dev
10:11:59.107 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.0.Final
10:12:00.755 [main] INFO  c.a.n.c.c.i.LocalConfigInfoProcessor - [<clinit>,67] - LOCAL_SNAPSHOT_PATH:C:\Users\Administrator\nacos\config
10:12:00.758 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,77] - [RpcClientFactory] create a new rpc client of 8054efd8-e5de-4949-9833-fd4b474738b8_config-0
10:12:00.795 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 24 ms to scan 1 urls, producing 3 keys and 6 values 
10:12:00.819 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 12 ms to scan 1 urls, producing 4 keys and 9 values 
10:12:00.831 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 10 ms to scan 1 urls, producing 3 keys and 10 values 
10:12:01.067 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 234 ms to scan 211 urls, producing 0 keys and 0 values 
10:12:01.076 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 9 ms to scan 1 urls, producing 1 keys and 5 values 
10:12:01.087 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 9 ms to scan 1 urls, producing 1 keys and 7 values 
10:12:01.097 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 8 ms to scan 1 urls, producing 2 keys and 8 values 
10:12:01.303 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 204 ms to scan 211 urls, producing 0 keys and 0 values 
10:12:01.305 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8054efd8-e5de-4949-9833-fd4b474738b8_config-0]RpcClient init label, labels={module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
10:12:01.307 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8054efd8-e5de-4949-9833-fd4b474738b8_config-0]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$334/1716411886
10:12:01.307 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8054efd8-e5de-4949-9833-fd4b474738b8_config-0]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$335/1126112943
10:12:01.308 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8054efd8-e5de-4949-9833-fd4b474738b8_config-0]Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
10:12:01.309 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8054efd8-e5de-4949-9833-fd4b474738b8_config-0]RpcClient init, ServerListFactory =com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
10:12:01.318 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8054efd8-e5de-4949-9833-fd4b474738b8_config-0] Try to connect to server on start up, server: {serverIp='192.168.6.130', server main port=8848}
10:12:02.556 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8054efd8-e5de-4949-9833-fd4b474738b8_config-0] Success to connect to server [192.168.6.130:8848] on start up,connectionId=1641780721067_192.168.6.1_54367
10:12:02.557 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8054efd8-e5de-4949-9833-fd4b474738b8_config-0]Notify connected event to listeners.
10:12:02.557 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.c.i.ClientWorker - [onConnected,681] - [8054efd8-e5de-4949-9833-fd4b474738b8_config-0] Connected,notify listen context...
10:12:02.557 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8054efd8-e5de-4949-9833-fd4b474738b8_config-0]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
10:12:02.558 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8054efd8-e5de-4949-9833-fd4b474738b8_config-0]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$4
10:12:02.599 [main] INFO  c.a.n.c.c.i.Limiter - [<clinit>,56] - limitTime:5.0
10:12:02.612 [main] INFO  c.a.n.c.c.u.JvmUtil - [<clinit>,53] - isMultiInstance:false
10:12:02.632 [main] INFO  c.x.g.XueYiGatewayApplication - [logStartupProfileInfo,663] - The following profiles are active: dev
10:12:04.601 [main] INFO  c.x.g.l.DynamicRouteServiceImplByNacos - [init,34] - gateway route init...
10:12:04.602 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,77] - [RpcClientFactory] create a new rpc client of 84efc6af-2c95-4edf-ab45-a832e4ddc0ce_config-0
10:12:04.602 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [84efc6af-2c95-4edf-ab45-a832e4ddc0ce_config-0]RpcClient init label, labels={module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
10:12:04.603 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [84efc6af-2c95-4edf-ab45-a832e4ddc0ce_config-0]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$334/1716411886
10:12:04.603 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [84efc6af-2c95-4edf-ab45-a832e4ddc0ce_config-0]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$335/1126112943
10:12:04.603 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [84efc6af-2c95-4edf-ab45-a832e4ddc0ce_config-0]Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
10:12:04.603 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [84efc6af-2c95-4edf-ab45-a832e4ddc0ce_config-0]RpcClient init, ServerListFactory =com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
10:12:04.603 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [84efc6af-2c95-4edf-ab45-a832e4ddc0ce_config-0] Try to connect to server on start up, server: {serverIp='192.168.6.130', server main port=8848}
10:12:04.729 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [84efc6af-2c95-4edf-ab45-a832e4ddc0ce_config-0] Success to connect to server [192.168.6.130:8848] on start up,connectionId=1641780723325_192.168.6.1_54369
10:12:04.730 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [84efc6af-2c95-4edf-ab45-a832e4ddc0ce_config-0]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
10:12:04.730 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [84efc6af-2c95-4edf-ab45-a832e4ddc0ce_config-0]Notify connected event to listeners.
10:12:04.730 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [84efc6af-2c95-4edf-ab45-a832e4ddc0ce_config-0]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$4
10:12:04.730 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.c.i.ClientWorker - [onConnected,681] - [84efc6af-2c95-4edf-ab45-a832e4ddc0ce_config-0] Connected,notify listen context...
10:12:04.752 [main] INFO  c.x.g.l.DynamicRouteServiceImplByNacos - [init,42] - 获取网关当前配置:[{
    "id": "xueyi-auth",
    "order": 2,
    "predicates": [{
        "args": {
            "pattern": "/token/**"
        },
        "name": "Path"
    }],
    "uri": "lb://xueyi-auth"
}]
10:12:04.776 [main] INFO  c.x.g.l.DynamicRouteServiceImplByNacos - [init,45] - update route : RouteDefinition{id='xueyi-auth', predicates=[PredicateDefinition{name='Path', args={pattern=/token/**}}], filters=[], uri=lb://xueyi-auth, order=2, metadata={}}
10:12:04.777 [main] INFO  c.x.g.s.i.DynamicRouteServiceImpl - [add,103] - gateway add route RouteDefinition{id='xueyi-auth', predicates=[PredicateDefinition{name='Path', args={pattern=/token/**}}], filters=[], uri=lb://xueyi-auth, order=2, metadata={}}
10:12:04.826 [main] INFO  c.a.n.c.c.i.ClientWorker - [addCacheDataIfAbsent,384] - [config_rpc_client] [subscribe] xueyi-gateway+DEFAULT_GROUP+f14023f1-463c-4fa2-9171-c3f19774cf73
10:12:04.832 [main] INFO  c.a.n.c.c.i.CacheData - [addListener,173] - [config_rpc_client] [add-listener] ok, tenant=f14023f1-463c-4fa2-9171-c3f19774cf73, dataId=xueyi-gateway, group=DEFAULT_GROUP, cnt=1
10:12:07.700 [main] INFO  c.a.c.s.g.s.SentinelSCGAutoConfiguration - [sentinelGatewayFilter,144] - [Sentinel SpringCloudGateway] register SentinelGatewayFilter with order: -2147483648
10:12:07.949 [main] INFO  c.a.n.client.naming - [initNamespaceForNaming,63] - initializer namespace from System Property : null
10:12:07.950 [main] INFO  c.a.n.client.naming - [call,69] - initializer namespace from System Environment :null
10:12:07.951 [main] INFO  c.a.n.client.naming - [call,79] - initializer namespace from System Property :null
10:12:07.967 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,77] - [RpcClientFactory] create a new rpc client of 0c484f11-2a0c-4e36-a42d-21decf8123ef
10:12:07.968 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0c484f11-2a0c-4e36-a42d-21decf8123ef]RpcClient init label, labels={module=naming, source=sdk}
10:12:07.969 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0c484f11-2a0c-4e36-a42d-21decf8123ef]RpcClient init, ServerListFactory =com.alibaba.nacos.client.naming.core.ServerListManager
10:12:07.969 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0c484f11-2a0c-4e36-a42d-21decf8123ef]Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
10:12:07.970 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0c484f11-2a0c-4e36-a42d-21decf8123ef]Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
10:12:07.971 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0c484f11-2a0c-4e36-a42d-21decf8123ef] Try to connect to server on start up, server: {serverIp='192.168.6.130', server main port=8848}
10:12:08.080 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0c484f11-2a0c-4e36-a42d-21decf8123ef] Success to connect to server [192.168.6.130:8848] on start up,connectionId=1641780726675_192.168.6.1_54376
10:12:08.080 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0c484f11-2a0c-4e36-a42d-21decf8123ef]Notify connected event to listeners.
10:12:08.080 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0c484f11-2a0c-4e36-a42d-21decf8123ef]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
10:12:08.080 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.client.naming - [onConnected,76] - Grpc connection connect
10:12:08.080 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [0c484f11-2a0c-4e36-a42d-21decf8123ef]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$4
10:12:09.484 [main] INFO  c.a.c.s.g.s.SentinelSCGAutoConfiguration - [sentinelGatewayBlockExceptionHandler,134] - [Sentinel SpringCloudGateway] register SentinelGatewayBlockExceptionHandler
10:12:09.775 [main] INFO  c.a.n.c.c.i.ClientWorker - [addCacheDataIfAbsent,384] - [config_rpc_client] [subscribe] sentinel-xueyi-gateway+DEFAULT_GROUP
10:12:09.776 [main] INFO  c.a.n.c.c.i.CacheData - [addListener,173] - [config_rpc_client] [add-listener] ok, tenant=, dataId=sentinel-xueyi-gateway, group=DEFAULT_GROUP, cnt=1
10:12:09.776 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,77] - [RpcClientFactory] create a new rpc client of 050e4660-ff75-4bd0-9a1c-9fa6e804cd36_config-0
10:12:09.776 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [050e4660-ff75-4bd0-9a1c-9fa6e804cd36_config-0]RpcClient init label, labels={module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
10:12:09.777 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [050e4660-ff75-4bd0-9a1c-9fa6e804cd36_config-0]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$334/1716411886
10:12:09.777 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [050e4660-ff75-4bd0-9a1c-9fa6e804cd36_config-0]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$335/1126112943
10:12:09.777 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [050e4660-ff75-4bd0-9a1c-9fa6e804cd36_config-0]Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
10:12:09.777 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [050e4660-ff75-4bd0-9a1c-9fa6e804cd36_config-0]RpcClient init, ServerListFactory =com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
10:12:09.777 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [050e4660-ff75-4bd0-9a1c-9fa6e804cd36_config-0] Try to connect to server on start up, server: {serverIp='192.168.6.130', server main port=8848}
10:12:09.884 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [050e4660-ff75-4bd0-9a1c-9fa6e804cd36_config-0] Success to connect to server [192.168.6.130:8848] on start up,connectionId=1641780728480_192.168.6.1_54380
10:12:09.884 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [050e4660-ff75-4bd0-9a1c-9fa6e804cd36_config-0]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
